time,ms
2025-07-16T14:00:00Z,21.8
2025-07-17T14:00:00Z,22.2
2025-07-18T14:00:00Z,27.6
2025-07-19T14:00:00Z,30.2
2025-07-20T14:00:00Z,27.5
2025-07-21T14:00:00Z,25.1
2025-07-22T14:00:00Z,21.9
2025-07-23T14:00:00Z,21.9
2025-07-24T14:00:00Z,19.1
2025-07-25T14:00:00Z,23.2
2025-07-26T14:00:00Z,20.7
2025-07-27T14:00:00Z,21.9
2025-07-28T14:00:00Z,17.1
2025-07-29T14:00:00Z,23.7
2025-08-05T14:00:00Z,28.1
2025-08-06T14:00:00Z,22.2
2025-08-07T14:00:00Z,22.0
2025-08-08T14:00:00Z,19.0
2025-08-09T14:00:00Z,21.3
2025-08-10T14:00:00Z,25.1
2025-08-11T14:00:00Z,23.2
2025-08-12T14:00:00Z,18.4
2025-08-13T14:00:00Z,20.4
2025-08-14T14:00:00Z,24.8
2025-08-15T14:00:00Z,22.9
2025-08-16T14:00:00Z,25.7
2025-08-17T14:00:00Z,25.0
2025-08-18T14:00:00Z,24.5
2025-08-19T14:00:00Z,37.9
2025-08-20T14:00:00Z,18.9
2025-08-21T14:00:00Z,26.7
2025-08-22T14:00:00Z,22.3
2025-08-23T14:00:00Z,26.1
2025-08-24T14:00:00Z,23.0
2025-08-25T14:00:00Z,32.0
2025-08-29T14:00:00Z,27.2
2025-08-31T14:00:00Z,25.5
2025-09-01T14:00:00Z,27.1
2025-09-02T14:00:00Z,26.3
2025-09-03T14:00:00Z,20.9
2025-09-04T14:00:00Z,19.8
2025-09-05T14:00:00Z,24.1
2025-09-06T14:00:00Z,26.6
2025-09-07T14:00:00Z,25.6
2025-09-08T14:00:00Z,18.4
2025-09-09T14:00:00Z,21.2
2025-09-10T14:00:00Z,24.8
2025-09-11T14:00:00Z,26.6
2025-09-12T14:00:00Z,24.4
2025-09-13T14:00:00Z,25.5
2025-09-17T14:00:00Z,23.2
2026-01-09T13:00:00Z,20.6
2026-01-10T13:00:00Z,21.3
2026-01-11T13:00:00Z,26.6
2026-01-12T13:00:00Z,31.8
2026-01-13T13:00:00Z,23.9
2026-01-14T13:00:00Z,27.0
2026-01-15T13:00:00Z,33.4
2026-01-20T13:00:00Z,39.4
2026-01-21T13:00:00Z,42.3
2026-01-22T13:00:00Z,25.1
2026-01-23T13:00:00Z,28.3
2026-01-24T13:00:00Z,28.9
2026-01-26T13:00:00Z,33.0
2026-01-27T13:00:00Z,22.0
2026-01-28T13:00:00Z,16.1
2026-01-29T13:00:00Z,21.3
2026-01-30T13:00:00Z,30.3
2026-01-31T13:00:00Z,34.9
2026-02-01T13:00:00Z,31.5
2026-02-02T13:00:00Z,24.0
2026-02-04T13:00:00Z,19.7
2026-02-05T13:00:00Z,26.6
2026-02-06T13:00:00Z,20.0
2026-02-07T13:00:00Z,21.0
2026-02-08T13:00:00Z,31.5
2026-02-09T13:00:00Z,21.0
2026-02-10T13:00:00Z,29.2
2026-02-11T13:00:00Z,20.2
2026-02-12T13:00:00Z,21.2
2026-02-13T13:00:00Z,30.4
2026-02-14T13:00:00Z,31.6
2026-02-15T13:00:00Z,28.6
2026-02-16T13:00:00Z,20.6
2026-02-18T13:00:00Z,20.3
2026-02-20T13:00:00Z,26.8
2026-02-22T13:00:00Z,23.5
2026-02-23T13:00:00Z,26.3
2026-02-25T13:00:00Z,30.8
2026-02-26T13:00:00Z,29.6
2026-02-27T13:00:00Z,29.5
2026-02-28T13:00:00Z,26.4
2026-03-01T13:00:00Z,57.6
2026-03-04T13:00:00Z,31.5
2026-03-06T13:00:00Z,30.1
2026-03-07T13:00:00Z,35.8
2026-03-08T13:00:00Z,27.0
