time,ms
1691935200000,25.2
1692021600000,16.9
1692108000000,42.5
1692194400000,18.5
1692280800000,33.1
1692367200000,21.5
1692453600000,26.9
1692540000000,36.4
1692626400000,22.1
1692712800000,31.5
1692799200000,18.1
1692972000000,20.2
1693058400000,46.9
1693144800000,31.3
1693231200000,34.6
1693317600000,31.2
1693404000000,19.5
1693490400000,20.9
1693576800000,19.5
1693663200000,27.2
1693749600000,29.5
1693836000000,27.4
1693922400000,33.1
1697547600000,32.2
1697634000000,23.1
1697720400000,28.1
1697806800000,20.0
1697893200000,38.8
1697979600000,23.0
1698066000000,27.4
1698152400000,51.5
1698584400000,33.9
1698670800000,47.7
1698757200000,32.4
1698843600000,28.3
1698930000000,48.0
1699016400000,24.1
1699102800000,39.7
1699189200000,40.2
1699275600000,37.6
1699362000000,38.7
1699794000000,29.5
1699880400000,36.2
1699966800000,25.4
1700053200000,38.2
1700139600000,28.5
1700226000000,20.1
1700312400000,39.3
1700398800000,38.4
1700485200000,52.4
1700571600000,33.8
1700658000000,26.1
1700744400000,51.9
1700830800000,54.4
1700917200000,42.5
1701003600000,49.0
1701090000000,60.4
1701176400000,41.3
1701262800000,21.1
1701349200000,50.6
1701435600000,16.5
1701522000000,29.1
1701608400000,41.9
1701694800000,30.1
1701781200000,26.5
1701867600000,35.5
1701954000000,36.0
1702040400000,28.6
1702126800000,31.7
1702213200000,30.8
1702299600000,31.8
1752674400000,37.6
1752760800000,30.7
1752847200000,43.2
1752933600000,43.4
1753020000000,32.1
1753106400000,30.5
1753192800000,37.6
1753279200000,36.7
1753365600000,20.3
1753452000000,29.7
1753538400000,25.6
1753624800000,25.3
1753711200000,25.0
1753797600000,30.2
1754402400000,35.3
1754488800000,24.7
1754575200000,31.6
1754661600000,25.5
1754748000000,43.0
1754834400000,32.0
1754920800000,25.1
1755007200000,22.5
1755093600000,28.5
1755180000000,33.8
1755266400000,25.7
1755352800000,28.3
1755439200000,27.6
1755525600000,26.1
1755612000000,43.1
1755698400000,23.6
1755784800000,27.7
1755871200000,27.0
1755957600000,33.4
1756044000000,23.7
1756130400000,39.3
1756216800000,32.9
1756476000000,29.1
1756648800000,26.3
1756735200000,40.8
1756821600000,30.0
1756908000000,26.3
1756994400000,22.4
1757080800000,27.5
1757167200000,32.4
1757253600000,27.8
1757340000000,26.7
1757426400000,22.8
1757512800000,32.3
1757599200000,29.3
1757685600000,29.7
1757772000000,30.7
1758117600000,34.4
1758290400000,28.5
1758463200000,27.0
1758549600000,33.4
1758636000000,23.6
1758722400000,16.6
1759068000000,24.7
1759154400000,21.8
1759240800000,23.4
1759413600000,23.2
1759586400000,17.7
1759669200000,24.8
1759928400000,22.6
1760101200000,24.8
1760187600000,26.5
1760274000000,29.9
1760533200000,27.3
1760792400000,35.4
1760965200000,20.1
1761224400000,21.0
1761397200000,19.9
1761483600000,14.0
1761570000000,19.0
1761656400000,20.5
1762002000000,16.4
1764507600000,40.6
1764594000000,24.5
1764680400000,46.2
1764766800000,40.4
1764853200000,43.6
1764939600000,32.7
1765026000000,24.9
1765112400000,20.8
1765198800000,25.9
1765285200000,26.4
1765371600000,33.5
1765458000000,32.5
1765544400000,38.4
1765630800000,40.2
1765717200000,25.0
1765803600000,49.1
1765890000000,29.5
1765976400000,53.9
1766062800000,41.4
1766149200000,49.4
1766235600000,55.9
1766322000000,74.8
1766408400000,34.8
1766494800000,47.9
1766581200000,40.1
1766667600000,31.4
1766754000000,32.9
1766840400000,29.6
1766926800000,42.7
1767013200000,31.8
1767099600000,35.4
1767186000000,35.3
1767272400000,34.3
1767358800000,64.7
1767963600000,28.7
1768050000000,24.7
1768136400000,34.9
1768222800000,36.0
1768309200000,31.3
1768395600000,28.8
1768482000000,34.0
1768914000000,47.4
1769000400000,44.9
1769086800000,52.6
1769173200000,34.1
1769259600000,43.7
1769432400000,48.1
1769518800000,33.8
1769605200000,22.5
1769691600000,29.8
1769778000000,40.7
1769864400000,36.6
1769950800000,48.3
1770037200000,26.5
1770210000000,22.2
1770296400000,29.2
1770382800000,31.0
1770469200000,36.9
1770555600000,55.8
1770642000000,31.0
1770728400000,36.9
1770814800000,26.3
1770901200000,21.6
1770987600000,34.4
1771074000000,46.9
1771160400000,30.6
1771246800000,26.7
1771419600000,25.6
1771592400000,37.2
1771765200000,31.5
1771851600000,31.7
1772024400000,37.3
1772110800000,36.2
1772197200000,45.5
1772283600000,47.7
1772370000000,59.7
1772456400000,85.5
1772629200000,32.9
1772802000000,45.3
1772888400000,48.8
1772974800000,37.6
