time,ms
1764608061000,40.0
1764689962000,24.0
1764784673000,46.0
1764857005000,40.0
1764944216000,43.0
1765032718000,32.0
1765113210000,24.0
1765199462000,20.0
1765285864000,25.0
1765381566000,26.0
1765462688000,33.0
1765547140000,32.0
1765639302000,38.0
1765724085000,40.0
1765811807000,24.0
1765895568000,49.0
1765980140000,29.0
1766072422000,53.0
1766156454000,41.0
1766255640000,49.0
1766326562000,55.0
1766426914000,74.0
1766498646000,34.0
1766586398000,47.0
1766671419000,40.0
1766767301000,31.0
1766846173000,32.0
1766934585000,29.0
1767013367000,42.0
1767105109000,31.0
1767192710000,35.0
1767278902000,35.0
1767362454000,34.0
1767455246000,64.0
