time,bpm
1492696800000,71.0
1492783200000,71.0
1492869600000,70.0
1492956000000,70.0
1493042400000,71.0
1493301600000,72.0
1493388000000,75.0
1493474400000,76.0
1493560800000,78.0
1493647200000,80.0
1493733600000,80.0
1493820000000,80.0
1493906400000,81.0
1493992800000,82.0
1494079200000,85.0
1495720800000,85.0
1495980000000,85.0
1496066400000,83.0
1496152800000,82.0
1496239200000,80.0
1496325600000,79.0
1496412000000,78.0
1496498400000,77.0
1496584800000,79.0
1496671200000,80.0
1496757600000,81.0
1496844000000,82.0
1496930400000,82.0
1497016800000,82.0
1497103200000,82.0
1497189600000,81.0
1498053600000,82.0
1498140000000,80.0
1498226400000,79.0
1498312800000,77.0
1498399200000,78.0
1498485600000,76.0
1498572000000,75.0
1498658400000,74.0
1498917600000,76.0
1499004000000,75.0
1499349600000,76.0
1499436000000,77.0
1499522400000,77.0
1499608800000,77.0
1499695200000,77.0
1506780000000,74.0
1506862800000,71.0
1506949200000,69.0
1507035600000,68.0
1507122000000,67.0
1507208400000,66.0
1507294800000,68.0
1507381200000,69.0
1507467600000,70.0
1507554000000,72.0
1507640400000,73.0
1507726800000,74.0
1507813200000,74.0
1507899600000,71.0
1507986000000,73.0
1508072400000,74.0
1508158800000,76.0
1508245200000,78.0
1508331600000,78.0
1508590800000,77.0
1508677200000,76.0
1508763600000,75.0
1508850000000,74.0
1508936400000,73.0
1509022800000,72.0
1509109200000,71.0
1509195600000,71.0
1509282000000,72.0
1509368400000,74.0
1509454800000,75.0
1509541200000,76.0
1511701200000,79.0
1511787600000,81.0
1511874000000,78.0
1511960400000,78.0
1512046800000,77.0
1512219600000,76.0
1512306000000,75.0
1512392400000,74.0
1512478800000,75.0
1512565200000,74.0
1512651600000,73.0
1512738000000,71.0
1512824400000,70.0
1512910800000,69.0
1512997200000,71.0
1513083600000,71.0
1513170000000,71.0
1513256400000,72.0
1513861200000,73.0
1513947600000,74.0
1514034000000,76.0
1514206800000,75.0
1514293200000,74.0
1514379600000,73.0
1514466000000,72.0
1514552400000,71.0
1514638800000,74.0
1518958800000,74.0
1526133600000,78.0
1526220000000,81.0
1526306400000,81.0
1526392800000,83.0
