time,bpm
2025-11-30T16:54:21Z,83.0
2025-12-01T15:39:22Z,77.0
2025-12-02T17:57:53Z,72.0
2025-12-03T14:03:25Z,74.0
2025-12-04T14:16:56Z,71.0
2025-12-05T14:51:58Z,75.0
2025-12-06T13:13:30Z,79.0
2025-12-07T13:11:02Z,78.0
2025-12-08T13:11:04Z,79.0
2025-12-09T15:46:06Z,82.0
2025-12-10T14:18:08Z,74.0
2025-12-11T13:45:40Z,76.0
2025-12-12T15:21:42Z,76.0
2025-12-13T14:54:45Z,76.0
2025-12-14T15:16:47Z,84.0
2025-12-15T14:32:48Z,84.0
2025-12-16T14:02:20Z,78.0
2025-12-17T15:40:22Z,84.0
2025-12-18T15:00:54Z,80.0
2025-12-19T18:34:00Z,86.0
2025-12-20T14:16:02Z,75.0
2025-12-21T18:08:34Z,68.0
2025-12-22T14:04:06Z,75.0
2025-12-23T14:26:38Z,75.0
2025-12-24T14:03:39Z,77.0
2025-12-25T16:41:41Z,73.0
2025-12-26T14:36:13Z,82.0
2025-12-27T15:09:45Z,83.0
2025-12-28T13:02:47Z,71.0
2025-12-29T14:31:49Z,77.0
2025-12-30T14:51:50Z,78.0
2025-12-31T14:48:22Z,76.0
2026-01-01T14:00:54Z,76.0
2026-01-02T15:47:26Z,83.0
