time,steps,source
2017-04-11T14:00:00Z,3778,health_connect
2017-04-14T14:00:00Z,1789,health_connect
2017-04-19T14:00:00Z,8275,health_connect
2017-04-20T14:00:00Z,1093,health_connect
2017-04-21T14:00:00Z,3790,health_connect
2017-04-22T14:00:00Z,1997,health_connect
2017-04-23T14:00:00Z,3459,health_connect
2017-04-24T14:00:00Z,2431,health_connect
2017-04-25T14:00:00Z,8,health_connect
2017-04-26T14:00:00Z,6069,health_connect
2017-04-27T14:00:00Z,4623,health_connect
2017-04-28T14:00:00Z,1386,health_connect
2017-04-29T14:00:00Z,1544,health_connect
2017-04-30T14:00:00Z,2930,health_connect
2017-05-01T14:00:00Z,7707,health_connect
2017-05-02T14:00:00Z,1774,health_connect
2017-05-03T14:00:00Z,5596,health_connect
2017-05-04T14:00:00Z,5301,health_connect
2017-05-05T14:00:00Z,1473,health_connect
2017-05-06T14:00:00Z,188,health_connect
2017-05-07T14:00:00Z,5785,health_connect
2017-05-08T14:00:00Z,432,health_connect
2017-05-09T14:00:00Z,7633,health_connect
2017-05-10T14:00:00Z,140,health_connect
2017-05-11T14:00:00Z,5003,health_connect
2017-05-12T14:00:00Z,1009,health_connect
2017-05-13T14:00:00Z,1891,health_connect
2017-05-14T14:00:00Z,1316,health_connect
2017-05-15T14:00:00Z,3444,health_connect
2017-05-16T14:00:00Z,3927,health_connect
2017-05-17T14:00:00Z,5572,health_connect
2017-05-18T14:00:00Z,8826,health_connect
2017-05-19T14:00:00Z,896,health_connect
2017-05-20T14:00:00Z,1946,health_connect
2017-05-21T14:00:00Z,4652,health_connect
2017-05-22T14:00:00Z,7136,health_connect
2017-05-23T14:00:00Z,7683,health_connect
2017-05-24T14:00:00Z,4724,health_connect
2017-05-25T14:00:00Z,8027,health_connect
2017-05-27T14:00:00Z,201,health_connect
2017-05-28T14:00:00Z,4885,health_connect
2017-05-29T14:00:00Z,6081,health_connect
2017-05-30T14:00:00Z,5008,health_connect
2017-05-31T14:00:00Z,9796,health_connect
2017-06-01T14:00:00Z,8398,health_connect
2017-06-02T14:00:00Z,5903,health_connect
2017-06-03T14:00:00Z,2419,health_connect
2017-06-04T14:00:00Z,4164,health_connect
2017-06-05T14:00:00Z,7466,health_connect
2017-06-06T14:00:00Z,1702,health_connect
2017-06-07T14:00:00Z,5659,health_connect
2017-06-08T14:00:00Z,7075,health_connect
2017-06-09T14:00:00Z,3255,health_connect
2017-06-10T14:00:00Z,4568,health_connect
2017-06-11T14:00:00Z,1918,health_connect
2017-06-12T14:00:00Z,10373,health_connect
2017-06-13T14:00:00Z,7800,health_connect
2017-06-14T14:00:00Z,7225,health_connect
2017-06-15T14:00:00Z,9298,health_connect
2017-06-16T14:00:00Z,127,health_connect
2017-06-17T14:00:00Z,165,health_connect
2017-06-18T14:00:00Z,6806,health_connect
2017-06-19T14:00:00Z,2638,health_connect
2017-06-20T14:00:00Z,10728,health_connect
2017-06-21T14:00:00Z,6735,health_connect
2017-06-22T14:00:00Z,8619,health_connect
2017-06-23T14:00:00Z,1920,health_connect
2017-06-24T14:00:00Z,802,health_connect
2017-06-25T14:00:00Z,3077,health_connect
2017-06-26T14:00:00Z,8200,health_connect
2017-06-27T14:00:00Z,3964,health_connect
2017-06-28T14:00:00Z,8160,health_connect
2017-06-29T14:00:00Z,6246,health_connect
2017-06-30T14:00:00Z,481,health_connect
2017-07-01T14:00:00Z,24,health_connect
2017-07-02T14:00:00Z,1372,health_connect
2017-07-03T14:00:00Z,579,health_connect
2017-07-05T14:00:00Z,230,health_connect
2017-07-06T14:00:00Z,3753,health_connect
2017-07-07T14:00:00Z,1642,health_connect
2017-07-08T14:00:00Z,509,health_connect
2017-07-09T14:00:00Z,1253,health_connect
2017-07-10T14:00:00Z,1977,health_connect
2017-07-11T14:00:00Z,6821,health_connect
2017-07-12T14:00:00Z,846,health_connect
2017-07-13T14:00:00Z,1515,health_connect
2017-07-16T14:00:00Z,55,health_connect
2017-07-17T14:00:00Z,6365,health_connect
2017-07-18T14:00:00Z,7459,health_connect
2017-07-19T14:00:00Z,7050,health_connect
2017-07-20T14:00:00Z,5556,health_connect
2017-07-21T14:00:00Z,1265,health_connect
2017-07-22T14:00:00Z,1965,health_connect
2017-07-23T14:00:00Z,7235,health_connect
2017-07-24T14:00:00Z,7362,health_connect
2017-07-25T14:00:00Z,8391,health_connect
2017-07-26T14:00:00Z,1137,health_connect
2017-07-27T14:00:00Z,2899,health_connect
2017-07-28T14:00:00Z,3496,health_connect
2017-07-29T14:00:00Z,1867,health_connect
2017-07-30T14:00:00Z,10083,health_connect
2017-07-31T14:00:00Z,529,health_connect
2017-08-01T14:00:00Z,2295,health_connect
2017-08-02T14:00:00Z,1198,health_connect
2017-08-03T14:00:00Z,2575,health_connect
2017-08-04T14:00:00Z,5128,health_connect
2017-08-05T14:00:00Z,1684,health_connect
2017-08-06T14:00:00Z,9468,health_connect
2017-08-07T14:00:00Z,119,health_connect
2017-08-08T14:00:00Z,5486,health_connect
2017-08-09T14:00:00Z,6872,health_connect
2017-08-10T14:00:00Z,7605,health_connect
2017-08-11T14:00:00Z,7510,health_connect
2017-08-12T14:00:00Z,2309,health_connect
2017-08-13T14:00:00Z,5101,health_connect
2017-08-14T14:00:00Z,7559,health_connect
2017-08-15T14:00:00Z,4097,health_connect
2017-08-16T14:00:00Z,7306,health_connect
2017-08-17T14:00:00Z,4908,health_connect
2017-08-18T14:00:00Z,1777,health_connect
2017-08-19T14:00:00Z,1059,health_connect
2017-08-20T14:00:00Z,5066,health_connect
2017-08-21T14:00:00Z,8994,health_connect
2017-08-22T14:00:00Z,6390,health_connect
2017-08-23T14:00:00Z,8925,health_connect
2017-08-24T14:00:00Z,8495,health_connect
2017-08-26T14:00:00Z,6257,health_connect
2017-08-27T14:00:00Z,7838,health_connect
2017-08-28T14:00:00Z,6794,health_connect
2017-08-29T14:00:00Z,4154,health_connect
2017-08-30T14:00:00Z,7691,health_connect
2017-08-31T14:00:00Z,5581,health_connect
2017-09-01T14:00:00Z,2798,health_connect
2017-09-02T14:00:00Z,56,health_connect
2017-09-03T14:00:00Z,5251,health_connect
2017-09-04T14:00:00Z,7466,health_connect
2017-09-05T14:00:00Z,2687,health_connect
2017-09-06T14:00:00Z,5995,health_connect
2017-09-07T14:00:00Z,924,health_connect
2017-09-08T14:00:00Z,1660,health_connect
2017-09-09T14:00:00Z,122,health_connect
2017-09-10T14:00:00Z,7220,health_connect
2017-09-11T14:00:00Z,7363,health_connect
2017-09-12T14:00:00Z,56,health_connect
2017-09-13T14:00:00Z,6941,health_connect
2017-09-14T14:00:00Z,9569,health_connect
2017-09-15T14:00:00Z,1756,health_connect
2017-09-16T14:00:00Z,2413,health_connect
2017-09-17T14:00:00Z,6660,health_connect
2017-09-18T14:00:00Z,9385,health_connect
2017-09-19T14:00:00Z,9172,health_connect
2017-09-20T14:00:00Z,8789,health_connect
2017-09-21T14:00:00Z,3400,health_connect
2017-09-22T14:00:00Z,6169,health_connect
2017-09-25T14:00:00Z,2354,health_connect
2017-09-26T14:00:00Z,888,health_connect
2017-09-27T14:00:00Z,77,health_connect
2017-09-28T14:00:00Z,3820,health_connect
2017-09-29T14:00:00Z,1870,health_connect
2017-10-01T13:00:00Z,4278,health_connect
2017-10-02T13:00:00Z,4814,health_connect
2017-10-03T13:00:00Z,3728,health_connect
2017-10-04T13:00:00Z,1370,health_connect
2017-10-05T13:00:00Z,5155,health_connect
2017-10-06T13:00:00Z,2063,health_connect
2017-10-07T13:00:00Z,3866,health_connect
2017-10-08T13:00:00Z,2617,health_connect
2017-10-09T13:00:00Z,4819,health_connect
2017-10-10T13:00:00Z,4723,health_connect
2017-10-11T13:00:00Z,4779,health_connect
2017-10-12T13:00:00Z,4160,health_connect
2017-10-13T13:00:00Z,5492,health_connect
2017-10-14T13:00:00Z,5108,health_connect
