time,steps
1491919200000,3778
1492178400000,1789
1492610400000,8275
1492696800000,1093
1492783200000,3790
1492869600000,1997
1492956000000,3459
1493042400000,2431
1493128800000,8
1493215200000,6069
1493301600000,4623
1493388000000,1386
1493474400000,1544
1493560800000,2930
1493647200000,7707
1493733600000,1774
1493820000000,5596
1493906400000,5301
1493992800000,1473
1494079200000,188
1494165600000,5785
1494252000000,432
1494338400000,7633
1494424800000,140
1494511200000,5003
1494597600000,1009
1494684000000,1891
1494770400000,1316
1494856800000,3444
1494943200000,3927
1495029600000,5572
1495116000000,8826
1495202400000,896
1495288800000,1946
1495375200000,4652
1495461600000,7136
1495548000000,7683
1495634400000,4724
1495720800000,8027
1495893600000,201
1495980000000,4885
1496066400000,6081
1496152800000,5008
1496239200000,9796
1496325600000,8398
1496412000000,5903
1496498400000,2419
1496584800000,4164
1496671200000,7466
1496757600000,1702
1496844000000,5659
1496930400000,7075
1497016800000,3255
1497103200000,4568
1497189600000,1918
1497276000000,10373
1497362400000,7800
1497448800000,7225
1497535200000,9298
1497621600000,127
1497708000000,165
1497794400000,6806
1497880800000,2638
1497967200000,10728
1498053600000,6735
1498140000000,8619
1498226400000,1920
1498312800000,802
1498399200000,3077
1498485600000,8200
1498572000000,3964
1498658400000,8160
1498744800000,6246
1498831200000,481
1498917600000,24
1499004000000,1372
1499090400000,579
1499263200000,230
1499349600000,3753
1499436000000,1642
1499522400000,509
1499608800000,1253
1499695200000,1977
1499781600000,6821
1499868000000,846
1499954400000,1515
1500213600000,55
1500300000000,6365
1500386400000,7459
1500472800000,7050
1500559200000,5556
1500645600000,1265
1500732000000,1965
1500818400000,7235
1500904800000,7362
1500991200000,8391
1501077600000,1137
1501164000000,2899
1501250400000,3496
1501336800000,1867
1501423200000,10083
1501509600000,529
1501596000000,2295
1501682400000,1198
1501768800000,2575
1501855200000,5128
1501941600000,1684
1502028000000,9468
1502114400000,119
1502200800000,5486
1502287200000,6872
1502373600000,7605
1502460000000,7510
1502546400000,2309
1502632800000,5101
1502719200000,7559
1502805600000,4097
1502892000000,7306
1502978400000,4908
1503064800000,1777
1503151200000,1059
1503237600000,5066
1503324000000,8994
1503410400000,6390
1503496800000,8925
1503583200000,8495
1503756000000,6257
1503842400000,7838
1503928800000,6794
1504015200000,4154
1504101600000,7691
1504188000000,5581
1504274400000,2798
1504360800000,56
1504447200000,5251
1504533600000,7466
1504620000000,2687
1504706400000,5995
1504792800000,924
1504879200000,1660
1504965600000,122
1505052000000,7220
1505138400000,7363
1505224800000,56
1505311200000,6941
1505397600000,9569
1505484000000,1756
1505570400000,2413
1505656800000,6660
1505743200000,9385
1505829600000,9172
1505916000000,8789
1506002400000,3400
1506088800000,6169
1506348000000,2354
1506434400000,888
1506520800000,77
1506607200000,3820
1506693600000,1870
1506862800000,4278
1506949200000,4814
1507035600000,3728
1507122000000,1370
1507208400000,5155
1507294800000,2063
1507381200000,3866
1507467600000,2617
1507554000000,4819
1507640400000,4723
1507726800000,4779
1507813200000,4160
1507899600000,5492
1507986000000,5108
1508072400000,10202
1508158800000,5816
1508245200000,4804
1508331600000,2737
1509109200000,1293
1509195600000,1474
1509282000000,4459
1509368400000,3988
1509454800000,4512
1509541200000,6675
1509714000000,119
1509800400000,46
1509886800000,47
1509973200000,11
1510146000000,1201
1510491600000,3015
1510837200000,2204
1511010000000,1080
1511528400000,4824
1511614800000,11
1511701200000,266
1511787600000,5293
1511874000000,7324
1511960400000,7408
1512046800000,5940
1512392400000,5220
1512478800000,17
1512565200000,6297
1512651600000,7194
1512738000000,3430
1512824400000,5189
1512910800000,6996
1512997200000,6830
1513083600000,6358
1513170000000,552
1513256400000,1403
1513429200000,1144
1513602000000,3187
1513688400000,1403
1513861200000,9418
1513947600000,5533
1514034000000,6050
1514120400000,7784
1514206800000,3571
1514293200000,4117
1514379600000,2066
1514466000000,5292
1514552400000,1759
1514638800000,658
1514984400000,350
1515157200000,7
1515243600000,1191
1515330000000,46
1516971600000,2416
1517749200000,14639
1518526800000,21506
1518872400000,457
1518958800000,1501
1519131600000,17917
1520514000000,12649
1520946000000,10323
1521118800000,7934
1521464400000,6295
1521810000000,3066
1522155600000,5402
1523196000000,7818
1523541600000,15526
1525528800000,4203
1526133600000,7020
1526220000000,9910
1526306400000,9268
1526392800000,10307
1526479200000,6547
1526565600000,4257
1526652000000,1434
1526738400000,1683
1526824800000,6660
1526911200000,6968
1526997600000,5739
1527084000000,3111
1527170400000,11298
1527256800000,2213
1527343200000,10048
1527429600000,4355
1527516000000,8606
1527602400000,9729
1527688800000,6902
1527775200000,16183
1527861600000,8842
1527948000000,2469
1528034400000,8333
1528120800000,13652
1528207200000,12864
1528293600000,1654
1528380000000,4509
1528466400000,9110
1528552800000,4318
1528639200000,2272
1528725600000,2392
1528812000000,11237
1528898400000,5516
1528984800000,12
1529762400000,2276
1530367200000,1733
1530799200000,5351
1531144800000,3938
1531231200000,6920
1531836000000,3389
1532095200000,5918
1532181600000,7614
1532268000000,15396
1532354400000,10345
1532440800000,8295
1532527200000,5419
1532613600000,6727
1532700000000,3306
1532786400000,3082
1532872800000,10010
1532959200000,7774
1533045600000,7242
1533132000000,7586
1533218400000,7276
1533304800000,2870
1533391200000,300
1533477600000,9747
1533564000000,12761
1533650400000,11203
1533736800000,6896
1533823200000,19222
1533909600000,8964
1533996000000,2965
1534082400000,12275
1534168800000,6084
1534255200000,1992
1534341600000,1414
1534428000000,9582
1534514400000,3528
1534600800000,6183
1534687200000,8771
1534773600000,4789
1534860000000,4981
1534946400000,175
1535551200000,5683
1535724000000,938
1535896800000,935
1536501600000,1088
1536760800000,2468
1536847200000,1917
1536933600000,4548
1537624800000,2685
1537797600000,10
1537884000000,15366
1537970400000,5377
1538056800000,11191
1538143200000,9178
1538229600000,6872
1538402400000,6073
1538488800000,3253
1538575200000,9020
1538661600000,16587
1538748000000,5565
1538834400000,1591
1538917200000,15166
1539003600000,15351
1539090000000,14690
1539176400000,2811
1539262800000,5909
1539435600000,7041
1539522000000,6893
1539608400000,3649
1539694800000,7828
1539781200000,11408
1539867600000,9745
1539954000000,1862
1540040400000,5588
1540126800000,13567
1540213200000,485
1540386000000,10513
1540472400000,10021
1540558800000,6538
1540645200000,13639
1540731600000,336
1540818000000,6405
1540904400000,8539
1540990800000,8631
1541077200000,10912
1541163600000,582
1541250000000,2591
1541336400000,9210
1541422800000,1665
1541509200000,1140
1541595600000,7894
1541682000000,8590
1541768400000,9378
1541941200000,9719
1542027600000,14090
1542114000000,7422
1542200400000,1674
1542286800000,6022
1542373200000,1723
1542459600000,1056
1542546000000,5154
1542632400000,2520
1542718800000,11678
1542805200000,7377
1542891600000,164
1543064400000,3536
1543150800000,6
1543237200000,2016
1543582800000,777
1543928400000,1567
1546952400000,2558
1547038800000,6171
1548680400000,4433
1550667600000,3511
1550754000000,5423
1550840400000,2303
1550926800000,5741
1551013200000,10043
1551099600000,14165
1551186000000,651
1551272400000,518
1551358800000,9258
1551445200000,4980
1551531600000,3011
1551618000000,6480
1551704400000,689
1552395600000,2512
1552568400000,4114
1552654800000,8778
1552741200000,5795
1552827600000,10157
1552914000000,6383
1553000400000,10070
1553086800000,9079
1553173200000,6731
1553691600000,7220
1553778000000,11136
1553864400000,1762
1553950800000,4017
1554037200000,6412
1554123600000,9061
1554210000000,969
1559570400000,3609
1560434400000,4368
1560520800000,2122
1560866400000,2541
1563026400000,100
1563285600000,2467
1563544800000,8387
1564408800000,8901
1564840800000,34
1565100000000,3353
1565359200000,5791
1565445600000,9659
1565532000000,22792
1565618400000,4179
1565704800000,13551
1565791200000,14953
1565877600000,21479
1565964000000,17898
1566050400000,2985
1566136800000,6407
1566223200000,16230
1566309600000,10556
1566396000000,2582
1566482400000,13666
1566568800000,7173
1566655200000,4488
1566741600000,20396
1566828000000,18804
1566914400000,9006
1567000800000,530
1567173600000,8436
1567260000000,6573
1567346400000,7211
1567432800000,3220
1567519200000,8831
1567605600000,10237
1567692000000,4561
1567778400000,324
1567951200000,10687
1568037600000,11389
1568124000000,13013
1568210400000,10092
1568296800000,20114
1568383200000,7590
1568469600000,1160
1568556000000,16174
1568642400000,19046
1568728800000,13561
1568815200000,23597
1568901600000,17961
1568988000000,972
1569074400000,206
1569160800000,9509
1569247200000,3880
1569333600000,17733
1569420000000,9842
1569506400000,22942
1569592800000,8593
1569679200000,458
1569765600000,5317
1569852000000,6348
1569938400000,4316
1570024800000,23413
1570111200000,21205
1570197600000,12315
1570284000000,9531
1570366800000,1368
1570453200000,16846
1570539600000,1991
1570626000000,7725
1570712400000,17946
1570798800000,7982
1570885200000,6760
1570971600000,9705
1571058000000,7578
1571144400000,13926
1571230800000,13751
1571317200000,10399
1571403600000,2095
1571490000000,9254
1571576400000,10471
1571662800000,9707
1571749200000,1764
1571835600000,14186
1571922000000,1263
1572008400000,5012
1572094800000,4816
1572181200000,2479
1572267600000,9075
1572354000000,15873
1572440400000,9344
1572526800000,21856
1572613200000,8816
1572699600000,5850
1572786000000,10663
1573045200000,12524
1573131600000,6021
1573218000000,11615
1573304400000,5170
1573390800000,17453
1573477200000,723
1573563600000,6112
1573650000000,10883
1573736400000,11721
1573822800000,1039
1573909200000,9119
1573995600000,7877
1574082000000,1584
1574168400000,7685
1574254800000,14614
1574341200000,434
1574600400000,2397
1575464400000,12863
1575550800000,1173
1575637200000,17057
1575723600000,18690
1575810000000,12556
1575896400000,9597
1575982800000,13100
1576069200000,3140
1576328400000,4773
1576414800000,5119
1576501200000,3220
1576587600000,2901
1576674000000,13172
1576760400000,3962
1576846800000,1899
1576933200000,1001
1578488400000,784
1580907600000,5970
1581339600000,1775
1581426000000,5381
1581512400000,6448
1581598800000,6719
1581685200000,8652
1581771600000,8824
1581858000000,17250
1581944400000,346
1582030800000,14953
1582117200000,11436
1582203600000,11784
1582290000000,5652
1582376400000,6011
1582462800000,4453
1582549200000,8830
1582635600000,696
1582722000000,1469
1582808400000,11186
1582894800000,13950
1582981200000,3744
1583067600000,10496
1583154000000,2757
1583326800000,11551
1583413200000,8911
1583499600000,4974
1583586000000,1588
1583672400000,2366
1583758800000,8928
1583845200000,2365
1583931600000,9354
1584018000000,2323
1584882000000,2925
1585918800000,439
1586181600000,1751
1586354400000,9096
1586440800000,8783
1586527200000,9731
1586613600000,10393
1586700000000,5537
1586786400000,3986
1586872800000,109
1587045600000,148
1587218400000,14832
1587304800000,3941
1587391200000,5357
1587477600000,8050
1587564000000,6646
1587650400000,2305
1587736800000,3686
1587823200000,1423
1587909600000,4377
1587996000000,4008
1588082400000,2919
1588168800000,835
1588255200000,82
1588341600000,306
1588514400000,3090
1588687200000,247
1588860000000,32
1589205600000,349
1589637600000,1082
1590156000000,341
1590501600000,2875
1590588000000,1635
1590674400000,2352
